New Column Name,New Column Documentation,Source Column ID,Source Column Documentation,Relationship,Condition,Prerequisite,Notes/Epistemic Status
i077o, Did (s)he suffer from any injury or accident that led to her/his death? injury,3E100,Did (s)he suffer from any injury or accident that led to her/his death?,eq,yes,,
i079o, Was (s)he injured in a road traffic accident? inj rta,3E110,Was it a road traffic accident?,eq,yes,,
i082o, Was (s)he injured in a non-road transport accident? inj nrta,3E300,Was (s)he injured in a non-road transport accident?,eq,yes,,
i019a, Was he male? male,1A110A,Was the deceased male?,eq,yes,,
i019b, Was he female? female,1A110B,Was the deceased female?,eq,yes,,
i022a, Was s(he) aged 65 years or more at death? 65+,1A260A,Was (s)he aged 65 years or over at death?,eq,yes,,
i022b, Was s(he) aged 50 to 64 years at death? 50 to 64,1A260B,Was (s)he aged 50 to 64 years at death?,eq,yes,,
i022c, Was s(he) aged 15 to 49 years at death? 15-49,1A260C,Was (s)he aged 15-49 years at death?,eq,yes,,
i022d, Was s(he) aged 5-14 years at death? 5-14 (adult or child),1A260D,Was (s)he aged 5 to 14 years at death?,eq,yes,,
i022e, Was s(he) aged 1 to 4 years at death? 1 to 4 (child),1A260E,Was (s)he aged 1 to 4 years at death?,eq,yes,,
i022f, Was s(he) aged 1 to 11 months at death? 1-11 months (child or neonate?),1A260F,Was (s)he aged 1 to 11 months at death?,eq,yes,,
i022g, Was s(he) aged < 1 month (28 days) at death? 0 - 27 days (neonate),1A260G,Was (s)he aged 28 days or less at death?,eq,yes,,
i022h, Was s(he) a live baby who died within 24 hours of birth? day0 iv5Names[12],1A260H,Did the baby die within 24 hours of birth?,eq,yes,i022g,
i022i, Was s(he) a baby who died between 24 and 48 hours of birth? day1 iv5Names[13],1A260I,Did baby die more than 24 hours after but less than 48 hours from birth?,eq,yes,i022g,
i022j,"  Was s(he) a baby who died more than 48 hours from birth, but within the first week? day2-6 iv5Names[14]",1A260J,Did baby die more than 48 hours from birth but within the first week of life?,eq,yes,i022g,
i022k," Was s(he) a baby who died after the first week, but within the first month? wk2-4 iv5Names[15]",1A260K,"Did baby die after first week, but within first 28 days?",eq,yes,i022g,
i022l, Was she a woman aged 12-19 years at death? f-19,1A260L,Was this a woman aged 12 to 19 years at death?,eq,yes,i019b,
i022m, Was she a woman aged 57-34 years at death? f20-34,1A260M,Was this a woman aged 20-34 years at death?,eq,yes,i019b,
i022n, Was she a woman aged 35 to 49 years at death? f35-49,1A260N,Was this a woman aged 35-49 years at death?,eq,yes,i019b,
i059o, Was she married at the time of death? married,1A600B,Was the deceased married?,eq,yes,,
i125o, Was there any diagnosis by a health professional of tuberculosis? dia tb,3A100,Was there any diagnosis of Tuberculosis?,eq,yes,,
i127o, Was there any diagnosis by a health professional of HIV/AIDS? dia HIV,3A110,Was there any diagnosis of HIV/AIDS?,eq,yes,,
i128o, Did (s)he have a recent positive test by a health professional for malaria? dia mal+,3A120,Did (s)he have a recent positive test for malaria?,eq,yes,,
i129o, Did (s)he have a recent negative test by a health professional for malaria? dia mal-,3A130,Did (s)he have a recent negative test for malaria?,eq,yes,,
i131o,60 )Was there any diagnosis by a health professional of measles? dia meas,3A140,Was there any diagnosis of Measles?,eq,yes,,
i132o, Was there any diagnosis by a health professional of high blood pressure? dia hypt,3A150,Was there any diagnosis of High Blood pressure?,eq,yes,,
i133o, Was there any diagnosis by a health professional of heart disease? dia cvd,3A160,Was there any diagnosis of heart disease?,eq,yes,,
i134o, Was there any diagnosis by a health professional of diabetes? dia diab,3A170,Was there any diagnosis of diabetes?,eq,yes,,
i135o, Was there any diagnosis by a health professional of asthma? dia asth,3A180,Was there any diagnosis of asthma?,eq,yes,,
i136o, Was there any diagnosis by a health professional of epilepsy? dia epil,3A190,Was there any diagnosis of epilepsy?,eq,yes,,
i137o, Was there any diagnosis by a health professional of cancer? dia canc,3A200,Was there any diagnosis of cancer?,eq,yes,,
