New Column Name,New Column Documentation,Source Column ID,Source Column Documentation,Relationship,Condition,Prerequisite,Meta: Notes
i004a, Did s(he) die during the wet season? d wet,-Id10004,(Id10004) [During which season did (s)he die?],eq,wet,,
i004b, Did s(he) die during the dry season? d dry,-Id10004,(Id10004) [During which season did (s)he die?],eq,dry,,
i019a, Was he male? male,-Id10019,(Id10019) What was the sex of the deceased?,eq,male,,
i019b, Was he female? female,-Id10019,(Id10019) What was the sex of the deceased?,eq,female,,
i022a, Was s(he) aged 65 years or more at death? 65+,-ageInYears, Calculated as: int(${ageInDays} div 365.25),ge,65,,
i022a, Was s(he) aged 65 years or more at death? 65+,-age_adult,[Enter adult's age in years:],ge,65,,
i022b, Was s(he) aged 50 to 64 years at death? 50 to 64,-ageInYears, Calculated as: int(${ageInDays} div 365.25),ge,50,,
i022b, Was s(he) aged 50 to 64 years at death? 50 to 64,-age_adult,[Enter adult's age in years:],ge,50,,
i022c, Was s(he) aged 15 to 49 years at death? 15-49,-age_adult,[Enter adult's age in years:],between,15 to 49,,
i022c, Was s(he) aged 15 to 49 years at death? 15-49,-ageInYears,Calculated field: int(${ageInDays} div 365.25),between,15 to 49,,
i022d, Was s(he) aged 5-14 years at death? 5-14 (adult or child),-age_child_years,[Enter child's age in years:],between,5 to 14,,
i022d, Was s(he) aged 5-14 years at death? 5-14 (adult or child),-ageInYears,Calculated field: int(${ageInDays} div 365.25),between,5 to 14,,
i022e, Was s(he) aged 1 to 4 years at death? 1 to 4 (child),-age_child_months,[Enter child's age in months:],between,12 to 48,,
i022e, Was s(he) aged 1 to 4 years at death? 1 to 4 (child),-age_child_years,[Enter child's age in years:],between,1 to 4,,
i022e, Was s(he) aged 1 to 4 years at death? 1 to 4 (child),-ageInYears,Calculated field: int(${ageInDays} div 365.25),between,1 to 4,,
i022f, Was s(he) aged 1 to 11 months at death? 1-11 months (child or neonate?),-age_child_months,[Enter child's age in months:],between,1 to 11,,
i022f, Was s(he) aged 1 to 11 months at death? 1-11 months (child or neonate?),-ageInMonths,Calculated field: int(${ageInYearsRemain} div 30.4),between,1 to 11,,
i022g, Was s(he) aged < 1 month (28 days) at death? 0 - 27 days (neonate),-ageInDaysNeonate,"Calculated field: if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${age_neonate_days}, ${ageInDays})",le,28,,
i022h, Was s(he) a live baby who died within 24 hours of birth? day0 iv5Names[12],-ageInDaysNeonate,"Calculated field: if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${age_neonate_days}, ${ageInDays})",le,1,,
i022i, Was s(he) a baby who died between 24 and 48 hours of birth? day1 iv5Names[13],-ageInDaysNeonate,"Calculated field: if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${age_neonate_days}, ${ageInDays})",between,1 to 2,,
i022j,"  Was s(he) a baby who died more than 48 hours from birth, but within the first week? day2-6 iv5Names[14]",-ageInDaysNeonate,"Calculated field: if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${age_neonate_days}, ${ageInDays})",between,3 to 7,,
i022k," Was s(he) a baby who died after the first week, but within the first month? wk2-4 iv5Names[15]",-ageInDaysNeonate,"Calculated field: if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${age_neonate_days}, ${ageInDays})",between,8 to 28,,
i022l, Was she a woman aged 12-19 years at death? f-19,-ageInYears,Calculated field: int(${ageInDays} div 365.25),between,12 to 19,i019b,
i022m, Was she a woman aged 57-34 years at death? f20-34,-ageInYears,Calculated field: int(${ageInDays} div 365.25),between,20 to 34,i019b,
i022n, Was she a woman aged 35 to 49 years at death? f35-49,-ageInYears,Calculated field: int(${ageInDays} div 365.25),between,35 to 49,i019b,
i059o, Was she married at the time of death? married,-Id10059,(Id10059) What was her/his marital status?,eq,married,,
i077o, Did (s)he suffer from any injury or accident that led to her/his death? injury,-Id10077,(Id10077) Did (s)he suffer from any injury or accident that led to her/his death?,eq,yes,,
i079o, Was (s)he injured in a road traffic accident? inj rta,-Id10079,(Id10079) Was it a road traffic accident?,eq,yes,,
i082o, Was (s)he injured in a non-road transport accident? inj nrta,-Id10082,(Id10082) Was (s)he injured in a non-road transport accident?,eq,yes,,
i083o, Was (s)he injured in a fall? inj fall,-Id10083,(Id10083) Was (s)he injured in a fall?,eq,yes,,
i084o, Was (s)he poisoned in any way? inj poison,-Id10084,(Id10084) Was there any poisoning?,eq,yes,,
i085o, Did (s)he die of drowning? inj drown,-Id10085,(Id10085) Did (s)he die of drowning?,eq,yes,,
i086o, Was (s)he injured by the bite or sting of a venomous animal? inj venom,-Id10086,(Id10086) Was (s)he injured by a bite or sting by venomous animal?,eq,yes,,
i087o, Was (s)he injured by an animal or insect (non-venomous) inj anim,-Id10087,(Id10087) Was (s)he injured by an animal or insect (non-venomous)?,eq,yes,,
i089o, Was (s)he injured by burns or fire? inj burn,-Id10089,(Id10089) Was (s)he injured by burns/fire?,eq,yes,,
i090o," Was (s)he subject to violence (suicide, homicide, abuse)? inj viol",-Id10090,"(Id10090) Was (s)he subject to violence (suicide, homicide, abuse)?",eq,yes,,
i091o, Was (s)he injured by a fire arm? inj gun,-Id10091,(Id10091) Was (s)he injured by a firearm?,eq,yes,,
