New Column Name,New Column Documentation,Source Column ID,Source Column Documentation,Relationship,Condition,Prerequisite,Meta: Notes
i004a, Did s(he) die during the wet season? d wet,Id10004,(Id10004) [During which season did (s)he die?],eq,wet,,
i004b, Did s(he) die during the dry season? d dry,Id10004,(Id10004) [During which season did (s)he die?],eq,dry,,
i019a, Was he male? male,Id10019,(Id10019) What was the sex of the deceased?,eq,male,,
i019b, Was he female? female,Id10019,(Id10019) What was the sex of the deceased?,eq,female,,
i019c,Were they intersex? Intersex,Id10019,(Id10019) What was the sex of the deceased?,eq,undetermined,,
i022a, Was s(he) aged 65 years or more at death? 65+,ageInYears,Calculated as: int(${ageInDays} div 365.25),ge,65,,
i022a, Was s(he) aged 65 years or more at death? 65+,age_adult,[Enter adult's age in years:],ge,65,,
i022b, Was s(he) aged 50 to 64 years at death? 50 to 64,ageInYears,Calculated as: int(${ageInDays} div 365.25),between,50 to 64,,
i022b, Was s(he) aged 50 to 64 years at death? 50 to 64,age_adult,[Enter adult's age in years:],between,50 to 64,,
i022c, Was s(he) aged 15 to 49 years at death? 15-49,age_adult,Calculated as: int(${ageInDays} div 365.25),between,15 to 49,,
i022c, Was s(he) aged 15 to 49 years at death? 15-49,ageInYears,[Enter adult's age in years:],between,15 to 49,,
i022d, Was s(he) aged 5-14 years at death? 5-14 (adult or child),age_child_years,[Enter child's age in years:],between,5 to 14,,
i022e, Was s(he) aged 5-14 years at death? 5-14 (adult or child),ageInYears,Calculated field: int(${ageInDays} div 365.25),between,5 to 14,,
i022f, Was s(he) aged 5-14 years at death? 5-14 (adult or child),age_adult,Calculated field: int(${ageInDays} div 365.25),between,5 to 14,,
i022g, Was s(he) aged 1 to 4 years at death? 1 to 4 (child),age_child_months,[Enter child's age in months:],between,12 to 48,,
i022h, Was s(he) aged 1 to 4 years at death? 1 to 4 (child),age_child_years,[Enter child's age in years:],between,1 to 4,,
i022i, Was s(he) aged 1 to 4 years at death? 1 to 4 (child),ageInYears,Calculated field: int(${ageInDays} div 365.25),between,1 to 4,,
i022j, Was s(he) aged 1 to 11 months at death? 1-11 months (child or neonate?),age_child_years,[Enter child's age in months:],lt,1,,
i022k, Was s(he) aged 1 to 11 months at death? 1-11 months (child or neonate?),age_child_months,[Enter child's age in months:],between,1 to 11,,
i022l, Was s(he) aged 1 to 11 months at death? 1-11 months (child or neonate?),age_child_days,[Enter child's age in days:],between,28 to 365,,
i022m, Was s(he) aged 1 to 11 months at death? 1-11 months (child or neonate?),ageInDays,Calculated field: int(${ageInYearsRemain} div 30.4),between,28 to 365,,
i022n, Was s(he) aged < 1 month (28 days) at death? 0 - 27 days (neonate),ageInDays,(${Id10023} - ${Id10021}),lt,28,,
i058a, Was s(he) aged < 1 month (28 days) at death? 0 - 27 days (neonate),ageInDaysNeonate,"Calculated field: if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${age_neonate_days}, ${ageInDays})",lt,28,,
i058b, Was s(he) a live baby who died within 24 hours of birth? day0 iv5Names[12],ageInDays,(${Id10023} - ${Id10021}),lt,1,,
i058c, Was s(he) a live baby who died within 24 hours of birth? day0 iv5Names[12],ageInDaysNeonate,"Calculated field: if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${age_neonate_days}, ${ageInDays})",lt,1,,
i059o, Was s(he) a baby who died between 24 and 48 hours of birth? day1 iv5Names[13],ageInDays,(${Id10023} - ${Id10021}),eq,1,,
i104o, Was s(he) a baby who died between 24 and 48 hours of birth? day1 iv5Names[13],ageInDaysNeonate,"Calculated field: if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${age_neonate_days}, ${ageInDays})",eq,1,,
i105o," Was s(he) a baby who died more than 48 hours from birth, but within the first week? day2-6 iv5Names[14]",ageInDays,(${Id10023} - ${Id10021}),between,2 to 6,,
i106a," Was s(he) a baby who died more than 48 hours from birth, but within the first week? day2-6 iv5Names[14]",ageInDaysNeonate,"Calculated field: if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${age_neonate_days}, ${ageInDays})",between,2 to 6,,
i107o," Was s(he) a baby who died after the first week, but within the first month? wk2-4 iv5Names[15]",ageInDays,(${Id10023} - ${Id10021}),between,7 to 27,,
i377o," Was s(he) a baby who died after the first week, but within the first month? wk2-4 iv5Names[15]",ageInDaysNeonate,"Calculated field: if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${age_neonate_days}, ${ageInDays})",between,7 to 27,i019b,
i376o, Was she a woman aged 12-19 years at death? f-19,ageInYears,Calculated field: int(${ageInDays} div 365.25),between,12 to 19,i019b,
i109o, Was she a woman aged 12-19 years at death? f-19,age_adult,Calculated field: int(${ageInDays} div 365.25),between,12 to 19,i019b,
i110o, Was she a woman aged 57-34 years at death? f20-34,ageInYears,Calculated field: int(${ageInDays} div 365.25),between,20 to 34,i019b,
i111o, Was she a woman aged 35 to 49 years at death? f35-49,ageInYears,Calculated field: int(${ageInDays} div 365.25),between,35 to 49,i019b,
i112o, Was she a woman aged 35 to 49 years at death? f35-49,age_adult,Calculated field: int(${ageInDays} div 365.25),between,35 to 49,i019b,
i113o, Was she married at the time of death? married,Id10059,(Id10059) What was her/his marital status?,eq,married,,
