New Column Name,New Column Documentation,Approx Line Number in InterVA_12.py ref,Extracted Column Reference,Extracted Column Documentation,Relationship,Condition,Prerequisite,Origin,META: Original Status,Should Reference,Proposed Reference Documentation,Notes
AC_ABDP,Did the abdominal pain last for less than 2 weeks?,435,Not Found,Question not found in WHO 2012 docs,eq,yes,ABD_PAIN,from original pyCrossVA code,Missing,3B350A,Did (s)he have severe abdominal pain for less than 2 weeks?,
AC_ABDP,Did the abdominal pain last for less than 2 weeks?,435,Not Found,Question not found in WHO 2012 docs,le,2,ABD_PAIN,from original pyCrossVA code,Missing,3B350A,Did (s)he have severe abdominal pain for less than 2 weeks?,
AC_ABDP,Did the abdominal pain last for less than 2 weeks?,435,Not Found,Question not found in WHO 2012 docs,lt,0,ABD_PAIN,from original pyCrossVA code,Missing,3B350A,Did (s)he have severe abdominal pain for less than 2 weeks?,
CH_ABDP,Did the abdominal pain last for 2 weeks or more?,438,Not Found,Question not found in WHO 2012 docs,eq,yes,ABD_PAIN,from original pyCrossVA code,Missing,3B350B,Did (s)he have severe abdominal pain for 2 weeks or more?,
CH_ABDP,Did the abdominal pain last for 2 weeks or more?,438,Not Found,Question not found in WHO 2012 docs,ge,2,ABD_PAIN,from original pyCrossVA code,Missing,3B350B,Did (s)he have severe abdominal pain for 2 weeks or more?,
CH_ABDP,Did the abdominal pain last for 2 weeks or more?,438,Not Found,Question not found in WHO 2012 docs,gt,0,ABD_PAIN,from original pyCrossVA code,Missing,3B350B,Did (s)he have severe abdominal pain for 2 weeks or more?,
MARRIED,Was she married at the time of death?,1105,1A600,What was her/his marital status?,eq,married,,from original pyCrossVA code,ok,1A600B,Was the deceased married?,
FEMALE,Was the deceased female?,103,1A110,Was the deceased female or male?,eq,female,,from original pyCrossVA code,ok,1A110,Was the deceased female or male?,
MALE,Was the deceased male?,100,1A110,Was the deceased female or male?,eq,male,,from original pyCrossVA code,ok,1A110A,Was the deceased male?,
ELDER,Was (s)he aged 65 years or over at death?,5,ageInYears,Question not found in WHO 2012 docs,ge,65,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260A,Was (s)he aged 65 years or over at death?,
