New Column Name,New Column Documentation,Source Column ID,Source Column Documentation,Relationship,Condition,Prerequisite
AB_POSIT,"Did the baby's bottom, feet, arm or hand come into the vagina before its head?",Id10403,"(Id10403) Did the baby's bottom, feet, arm or hand come out of the vagina before its head?",eq,yes,
AB_SIZE,Was the baby of abnormal size?,Id10362,"(Id10362) At birth, was the baby of usual size?",eq,yes,
ABD_MASS,Did (s)he have any lump inside the abdomen?,Id10204,(Id10204) Did (s)he have any mass in the belly (abdomen)?,eq,yes,
ABD_PAIN,Did (s)he have severe abdominal pain?,Id10195,(Id10195) Was the belly (abdominal) pain severe?,eq,yes,
ABDOM,Did (s)he have any abdominal problem?,Id10193,(Id10193) Did (s)he have any belly (abdominal) problem?,eq,yes,
ABORT,Did she recently have a pregnancy that ended in an abortion (spontaneous or induced)?,Id10334,(Id10334) Did she recently have a pregnancy that ended in an abortion (spontaneous or induced)?,eq,yes,
AC_ABDM,Did (s)he have a lump inside the abdomen for less than 2 weeks?,Id10205,(Id10205) Calculated number of Days with a mass in the belly (abdomen),lt,14,
AC_ABDP,Did the abdominal pain last for less than 2 weeks?,Id10197,(Id10197) Calculated number of Days with belly pain,lt,14,
AC_BRL,Did (s)he have breathlessness for less than 2 weeks?,Id10169,(Id10169) How long did (s)he have breathlessness?,lt,14,
AC_CONV,Did the convulsions last for less than 10 minutes,Id10221,(Id10221) For how many minutes did the convulsions last?,lt,10,
AC_COUGH,Did (s)he have a cough for less than 3 weeks before death?,Id10154,(Id10154) For how many days did (s)he have a cough?,lt,21,
AC_DIARR,Did (s)he have diarrhea for less than 2 weeks?,Id10182,(Id10182) For how many days did (s)he have frequent loose or liquid stools?,lt,14,
AC_FEVER,Did (s)he have fever for less than 2 weeks before death?,Id10148,(Id10148) How many days did the fever last?,lt,14,
AC_RASH,Did (s)he have the skin rash for less than 1 week?,Id10234,(Id10234) For how many days did (s)he have the skin rash?,lt,7,
AC_RPBR,Did (s)he have fast breathing for less than 2 weeks?,Id10167,(Id10167) How long did the fast breathing last?,lt,14,
AC_STNK,Did (s)he have a stiff or painful neck for less than 1 week?,Id10211,(Id10211) For how many days before death did (s)he have a painful neck?,lt,7,
AC_SWAB,Did (s)he have a more than usually protruding abdomen for less than 2 weeks?,Id10201,(Id10201) Calculated number of Days with protruding belly (abdomen),lt,14,
ACUTE,Was (s)he ill for less than 3 weeks before death?,Id10120,(Id10120) Calculated number of Days with illness,lt,21,
ADULT,Was (s)he aged 15-49 years at death?,ageInYears,Calculated field: int(${ageInDays} div 365.25),between,15 to 49,
ALCOHOL,Did (s)he drink alcohol?,Id10411,(Id10411) Did (s)he drink alcohol?,eq,yes,
ANAEMIA,"Did (s)he look pale (thinning/lack of blood) or have pale palms, eyes or nail beds?",Id10268,"(Id10268) Did (s)he look pale (thinning/lack of blood) or have pale palms, eyes or nail beds?",eq,yes,
ANTIB_I,Did (s)he receive (or need) injectable antibiotics?,Id10423,(Id10423) Did (s)he receive (or need) injectable antibiotics?,eq,yes,
ARCH_B,"Did the baby's body become stiff, with the back arched backwards?",Id10277,"(Id10277) Did the baby's body become stiff, with the back arched backwards?",eq,yes,
ASSAULT,Was (s)he subject to violence/assault?,Id10090,"(Id10090) Was (s)he subject to violence (suicide, homicide, abuse)?",eq,yes,
ASSAULT,Was (s)he subject to violence/assault?,Id10091,(Id10091) Was (s)he injured by a firearm?,eq,yes,
ASSAULT,Was (s)he subject to violence/assault?,Id10092,"(Id10092) Was (s)he stabbed, cut or pierced?",eq,yes,
ASSAULT,Was (s)he subject to violence/assault?,Id10093,(Id10093) Was (s)he strangled?,eq,yes,
ASSAULT,Was (s)he subject to violence/assault?,Id10094,(Id10094) Was (s)he injured by a blunt force?,eq,yes,
ASTHMA,Was there any diagnosis of Asthma,Id10135,(Id10135) Was there any diagnosis by a health professional of asthma?,eq,yes,
B_ASSIST,Was baby born with forceps/vacuum?,Id10388,"(Id10388) Was the delivery vaginal, with forceps or vacuum?",eq,yes,
B_BFAC,Was the child born in a health facility?,Id10360,(Id10360) Where was the deceased born?,eq,other_health_facility,
B_BFAC,Was the child born in a health facility?,Id10360,(Id10360) Where was the deceased born?,eq,hospital,
B_BHOME,Was the child born at home?,Id10360,(Id10360) Where was the deceased born?,eq,home,
B_BPROF,Did the mother receive professional assistance during the delivery?,Id10361,(Id10361) Did you/the mother receive professional assistance during the delivery?,eq,yes,
B_BWAY,"Was the child born somewhere else, e.g. on the way to a facility?",Id10360,(Id10360) Where was the deceased born?,eq,other,
B_BWAY,"Was the child born somewhere else, e.g. on the way to a facility?",Id10360,(Id10360) Where was the deceased born?,eq,on_route_to_hospital_or_facility,
B_CAES,Was baby delivered by Caesarean section?,Id10389,(Id10389) Was the delivery a Caesarean section?,eq,yes,
B_FIRST,Was this baby born from the mother's first pregnancy?,Id10394,"(Id10394) How many births, including stillbirths, did the baby's mother have before this baby?",eq,0,
B_MBPR,"During pregnancy, did the baby's mother suffer from high blood pressure?",Id10396,"(Id10396) During the last 3 months of pregnancy, labour or delivery, did you/the baby's mother suffer from high blood pressure?",eq,yes,
B_MBVI,During the last 3 months of pregnancy did the baby's mother suffer from blurred vision?,Id10400,(Id10400) During the last 3 months of pregnancy did you/the baby's mother suffer from blurred vision?,eq,yes,
B_MCON,"During the last 3 months of pregnancy, did the baby's mother suffer from convulsions?",Id10399,"(Id10399) During the last 3 months of pregnancy, labour or delivery, did you/the baby's mother suffer from convulsions?",eq,yes,
B_MORE4,"Did the baby's mother have four or more births, including stillbirths, before this pregnancy?",Id10394,"(Id10394) How many births, including stillbirths, did the baby's mother have before this baby?",ge,4,
B_MSMDS,Did the baby's mother have foul smelling vaginal discharge during pregnancy or after delivery?,Id10398,(Id10398) Did you/the baby's mother have foul smelling vaginal discharge during pregnancy or after delivery?,eq,yes,
B_MVBL,Did the baby's mother have vaginal bleeding during the last 3 months of pregnancy but before labour started?,Id10402,(Id10402) Did you/the baby's mother have vaginal bleeding during the last 3 months of pregnancy but before labour started?,eq,yes,
B_NORM,Was baby born in a normal vaginal delivery?,Id10387,"(Id10387) Was the delivery normal vaginal, without forceps or vacuum?",eq,yes,
B_YELLOW,Did the baby have yellow palms or soles?,Id10289,"(Id10289) During the illness that led to death, did the baby have yellow skin, palms (hand) or soles (foot)?",eq,yes,
BABY_AL,"Did she give birth to a live, healthy baby within 6 weeks of death?",Id10316,(Id10316) Did she give birth to a live baby (within 6 weeks of her death)?,eq,yes,
BABY_BR,"Did the baby breathe after birth, even a little?",Id10111,"(Id10111) Did the baby breathe immediately after birth, even a little?",eq,yes,
BABY_POS,Did she deliver or try to deliver an abnormally positioned baby?,Id10331,(Id10331) Did she deliver or try to deliver an abnormally positioned baby?,eq,yes,
BL_COUGH,Did (s)he cough up blood?,Id10157,(Id10157) Did (s)he cough up blood?,eq,yes,
BL_DIARR,At any time during the final illness was there blood in the stools?,Id10186,(Id10186) At any time during the final illness was there blood in the stools?,eq,yes,
BL_ORIF,"Did (s)he bleed from the nose, mouth or anus?",Id10242,"(Id10242) Did (s)he bleed from the nose, mouth or anus?",eq,yes,
BL_VOMIT,"Did (s)he vomit ""coffee grounds"" or bright red/blood?",Id10191,(Id10191) Was there blood in the vomit?,eq,yes,
BL_VOMIT,"Did (s)he vomit ""coffee grounds"" or bright red/blood?",Id10192,(Id10192) Was the vomit black?,eq,yes,
BLEED,Was there excessive vaginal bleeding during pregnancy or after delivery?,Id10325,(Id10325) Did bleeding occur while she was pregnant?,eq,yes,
BLOOD_TR,Did (s)he receive (or need) a blood transfusion?,Id10421,(Id10421) Did (s)he receive (or need) a blood transfusion?,eq,yes,
