New Column Name,New Column Documentation,Source Column ID,Source Column Documentation,Relationship,Condition,Prerequisite,unused column
AB_POSIT,,Fake Column,,eq,no,,
AB_POSIT,,Fake Column,,eq,no,,
AB_POSIT,,Id10403,,eqqqq,yes,,
AB_SIZE,,Id10362,,,no,,
AB_SIZE,,Id10362,,another fake,yes,,
ABD_MASS&&,,Id10204,,eq,no,,
ABD_MASS <>.??,,Id10204,,gee,,ABDOMM,
ABD_PAIN,,Id10195,,eq,no,,
ABD PAIN,,Id10195,,lt,yes,,
ABDOM,,Id10193,,ge,no,Placeholder here,
ABDOM,,Id10193,,eq,yes,,
,,,,,,,
ABORT,,Id10334,,eq,yes,,
ABORT,,Id10334,,eq,no,,
ABORT,,Id10334,,eq,no,,
